State,Crop,Season,Year,Area,Production,Yield
Andaman and Nicobar Islands,Arecanut,Whole Year,2006-07,4056.0,5839.299999999999,1.4396696252465482
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2007-08,24.0,128.5,5.354166666666667
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2010-11,315.0,104.0,0.33015873015873015
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2011-12,210.0,63.4,0.3019047619047619
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2012-13,52.5,15.0,0.2857142857142857
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2013-14,1.5,3.2,2.1333333333333333
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2014-15,14.9,14.200000000000001,0.953020134228188
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2015-16,1.0,0.5,0.5
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2016-17,6.5,0.3,0.04615384615384615
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2017-18,1.2,0.6,0.5
Andaman and Nicobar Islands,Arhar/Tur,Summer,2008-09,131.0,92.0,0.7022900763358778
Andaman and Nicobar Islands,Arhar/Tur,Summer,2009-10,331.0,164.0,0.4954682779456193
Andaman and Nicobar Islands,Banana,Autumn,2008-09,795.0,7710.0,9.69811320754717
Andaman and Nicobar Islands,Banana,Autumn,2009-10,798.0,7435.0,9.31704260651629
Andaman and Nicobar Islands,Banana,Kharif,2007-08,837.95,7450.8,8.891699982099171
Andaman and Nicobar Islands,Banana,Rabi,2007-08,685.59,6096.1,8.891757464373752
Andaman and Nicobar Islands,Banana,Summer,2008-09,794.0,7710.0,9.710327455919396
Andaman and Nicobar Islands,Banana,Summer,2009-10,798.0,7435.0,9.31704260651629
Andaman and Nicobar Islands,Banana,Whole Year,2000-01,1707.0,12714.0,7.448154657293498
Andaman and Nicobar Islands,Banana,Whole Year,2002-03,1737.0,12160.0,7.0005757052389175
Andaman and Nicobar Islands,Banana,Whole Year,2003-04,1796.0,13321.0,7.417037861915367
Andaman and Nicobar Islands,Banana,Whole Year,2004-05,1978.518,17778.52,8.985776222404851
Andaman and Nicobar Islands,Banana,Whole Year,2005-06,1678.8,10833.13,6.4529008815820825
Andaman and Nicobar Islands,Banana,Whole Year,2006-07,1638.5700000000002,13708.0,8.36583118206729
Andaman and Nicobar Islands,Banana,Whole Year,2010-11,1610.0,16910.0,10.503105590062113
Andaman and Nicobar Islands,Banana,Whole Year,2011-12,1681.0,18535.0,11.0261748958953
Andaman and Nicobar Islands,Banana,Whole Year,2012-13,1675.0,18350.0,10.955223880597014
Andaman and Nicobar Islands,Banana,Whole Year,2013-14,1817.5,14042.3,7.726162310866575
Andaman and Nicobar Islands,Banana,Whole Year,2014-15,1841.0,15962.0,8.670287887017926
Andaman and Nicobar Islands,Banana,Whole Year,2015-16,2015.0,17650.0,8.759305210918114
Andaman and Nicobar Islands,Banana,Whole Year,2016-17,2136.1,13344.3,6.247038996301671
Andaman and Nicobar Islands,Banana,Whole Year,2017-18,1814.85,13612.49,7.500614375843734
Andaman and Nicobar Islands,Banana,Whole Year,2018-19,1902.1100000000001,16690.12,8.774529338471487
Andaman and Nicobar Islands,Banana,Whole Year,2019-20,2036.2,16115.419999999998,7.914458304685197
Andaman and Nicobar Islands,Black pepper,Autumn,2008-09,613.0,25.0,0.040783034257748776
Andaman and Nicobar Islands,Black pepper,Autumn,2009-10,600.0,41.0,0.06833333333333333
Andaman and Nicobar Islands,Black pepper,Kharif,2007-08,366.16,21.0,0.057351977277692805
Andaman and Nicobar Islands,Black pepper,Rabi,2007-08,244.1,14.0,0.05735354362965998
Andaman and Nicobar Islands,Black pepper,Rabi,2010-11,600.0,120.0,0.2
Andaman and Nicobar Islands,Black pepper,Rabi,2011-12,600.0,31.7,0.05283333333333333
Andaman and Nicobar Islands,Black pepper,Rabi,2012-13,600.0,130.0,0.21666666666666667
Andaman and Nicobar Islands,Black pepper,Rabi,2013-14,573.3,76.6,0.13361241932670503
Andaman and Nicobar Islands,Black pepper,Rabi,2014-15,526.0,85.0,0.16159695817490494
Andaman and Nicobar Islands,Black pepper,Rabi,2015-16,380.5,53.5,0.14060446780551905
Andaman and Nicobar Islands,Black pepper,Rabi,2016-17,297.3,52.81,0.17763202152707702
Andaman and Nicobar Islands,Black pepper,Rabi,2017-18,90.61999999999999,352.27000000000004,3.887331714853234
Andaman and Nicobar Islands,Black pepper,Rabi,2018-19,90.44,7.59,0.08392304290137108
Andaman and Nicobar Islands,Black pepper,Rabi,2019-20,89.22,21.01,0.2354853171934544
Andaman and Nicobar Islands,Black pepper,Summer,2008-09,613.0,11.0,0.01794453507340946
Andaman and Nicobar Islands,Black pepper,Summer,2009-10,600.0,17.0,0.028333333333333332
Andaman and Nicobar Islands,Black pepper,Whole Year,2002-03,550.0,116.0,0.2109090909090909
Andaman and Nicobar Islands,Black pepper,Whole Year,2003-04,572.5,120.23,0.21000873362445416
Andaman and Nicobar Islands,Black pepper,Whole Year,2004-05,655.0,120.22,0.18354198473282443
Andaman and Nicobar Islands,Black pepper,Whole Year,2005-06,697.45,36.050000000000004,0.05168829306760341
Andaman and Nicobar Islands,Black pepper,Whole Year,2006-07,610.26,212.0,0.34739291449546095
Andaman and Nicobar Islands,Cashewnut,Rabi,2010-11,1100.0,310.0,0.2818181818181818
Andaman and Nicobar Islands,Cashewnut,Rabi,2011-12,1200.0,351.1,0.29258333333333336
Andaman and Nicobar Islands,Cashewnut,Rabi,2012-13,1200.0,377.7,0.31475
Andaman and Nicobar Islands,Cashewnut,Rabi,2013-14,1197.6000000000001,378.90000000000003,0.3163827655310621
Andaman and Nicobar Islands,Cashewnut,Rabi,2014-15,1133.0,333.0,0.293909973521624
Andaman and Nicobar Islands,Cashewnut,Rabi,2015-16,1053.0,281.0,0.2668566001899335
Andaman and Nicobar Islands,Cashewnut,Rabi,2016-17,449.0,42.93,0.09561247216035634
Andaman and Nicobar Islands,Cashewnut,Rabi,2017-18,38.7,43.67,1.1284237726098192
Andaman and Nicobar Islands,Cashewnut,Rabi,2018-19,42.06,43.81,1.0416072277698525
Andaman and Nicobar Islands,Cashewnut,Rabi,2019-20,50.06,42.07,0.8403915301638034
Andaman and Nicobar Islands,Cashewnut,Whole Year,2000-01,800.0,219.0,0.27375
Andaman and Nicobar Islands,Cashewnut,Whole Year,2001-02,800.0,225.0,0.28125
Andaman and Nicobar Islands,Cashewnut,Whole Year,2002-03,800.0,232.0,0.29
Andaman and Nicobar Islands,Cashewnut,Whole Year,2003-04,833.5,234.64,0.2815116976604679
Andaman and Nicobar Islands,Cashewnut,Whole Year,2004-05,800.0,223.0,0.27875
Andaman and Nicobar Islands,Cashewnut,Whole Year,2005-06,568.5,86.02,0.15131046613896218
Andaman and Nicobar Islands,Cashewnut,Whole Year,2006-07,570.0,155.13,0.2721578947368421
Andaman and Nicobar Islands,Coconut,Whole Year,2000-01,25160.0,89000000.0,3537.3608903020668
Andaman and Nicobar Islands,Coconut,Whole Year,2001-02,25205.0,89680000.0,3558.0242015473123
Andaman and Nicobar Islands,Coconut,Whole Year,2002-03,25300.0,94320000.0,3728.0632411067195
Andaman and Nicobar Islands,Coconut,Whole Year,2003-04,25394.74,95240000.0,3750.3829533202543
Andaman and Nicobar Islands,Coconut,Whole Year,2004-05,25551.4,87130000.0,3409.989276517138
Andaman and Nicobar Islands,Coconut,Whole Year,2005-06,20927.02,78460000.0,3749.2199080423297
Andaman and Nicobar Islands,Coconut,Whole Year,2006-07,21416.09,88960000.0,4153.886166896012
Andaman and Nicobar Islands,Coconut,Whole Year,2007-08,21636.0,80640000.0,3727.1214642262894
Andaman and Nicobar Islands,Coconut,Whole Year,2008-09,43380.0,81900000.0,1887.966804979253
Andaman and Nicobar Islands,Coconut,Whole Year,2009-10,43520.0,84970000.0,1952.4356617647059
Andaman and Nicobar Islands,Coconut,Whole Year,2010-11,21768.0,95000000.0,4364.204336640941
Andaman and Nicobar Islands,Coconut,Whole Year,2011-12,21800.0,105000000.0,4816.51376146789
Andaman and Nicobar Islands,Coconut,Whole Year,2012-13,21875.0,125100000.0,5718.857142857143
Andaman and Nicobar Islands,Coconut,Whole Year,2013-14,21900.0,129000000.0,5890.41095890411
Andaman and Nicobar Islands,Coconut,Whole Year,2014-15,21910.0,129800000.0,5924.235508900046
Andaman and Nicobar Islands,Coconut,Whole Year,2015-16,21915.0,131600000.0,6005.019393109742
Andaman and Nicobar Islands,Coconut,Whole Year,2016-17,22079.0,133000000.0,6023.823542732914
Andaman and Nicobar Islands,Coconut,Whole Year,2017-18,16274.8,124780000.0,7667.068105291617
